run_accession	experiment_title	sample_accession	project_name	submission_accession	library_min_fragment_size	bam_md5	assembly_software	library_prep_longitude	library_selection	pcr_isolation_protocol	chip_protocol	sequencing_primer_provider	serotype	environment_feature	last_updated	submitted_galaxy	extraction_protocol	germline	secondary_project	culture_collection	submission_tool	sra_bytes	read_strand	rna_purity_280_ratio	hi_c_protocol	collected_by	submitted_ftp	restriction_enzyme_target_sequence	isolate	fastq_bytes	instrument_platform	variety	sra_file_role	sequencing_date_format	temperature	sra_aspera	ecotype	submitted_aspera	sampling_campaign	bam_ftp	tissue_lib	environmental_sample	control_experiment	sex	submitted_md5	checklist	fastq_galaxy	library_gen_protocol	specimen_voucher	library_prep_latitude	submitted_bytes	taxonomic_identity_marker	run_date	country	ncbi_reporting_standard	sample_description	sra_galaxy	sample_prep_interval	fastq_md5	secondary_study_accession	experimental_protocol	read_count	study_title	bio_material	fastq_file_role	rna_prep_5_protocol	host_body_site	local_environmental_context	assembly_quality	collection_date_end	sample_capture_status	sample_title	host_genotype	host_phenotype	environmental_medium	cultivar	instrument_model	faang_library_selection	target_gene	bam_bytes	library_max_fragment_size	experiment_target	sequencing_date	description	bam_file_role	nominal_sdev	chip_ab_provider	environment_material	host_tax_id	sample_material	sample_storage_processing	sra_md5	cell_type	fastq_ftp	disease	sample_prep_interval_units	broker_name	sub_strain	base_count	library_strategy	restriction_site	serovar	investigation_type	location	library_source	sra_ftp	age	library_layout	experimental_factor	sequencing_primer_catalog	environment_biome	rna_purity_230_ratio	dnase_protocol	dev_stage	library_prep_date_format	bam_aspera	binning_software	datahub	rna_integrity_num	library_prep_date	location_start	marine_region	aligned	file_location	sample_collection	chip_target	nominal_length	broad_scale_environmental_context	sequencing_location	status	completeness_score	lon	fastq_aspera	tax_lineage	host_sex	library_pcr_isolation_protocol	sample_alias	mating_type	collection_date_start	sub_species	contamination_score	run_alias	restriction_enzyme	depth	submitted_file_role	submitted_read_type	library_construction_protocol	host_growth_conditions	collection_date	experiment_alias	host_gravidity	center_name	identified_by	cell_line	sampling_site	host	library_name	tag	first_created	lat	strain	experiment_accession	scientific_name	host_status	tax_id	study_accession	submitted_format	submitted_host_sex	surveillance_target	bisulfite_protocol	altitude	rt_prep_protocol	host_scientific_name	bam_galaxy	accession	secondary_sample_accession	sample_storage	cage_protocol	sampling_platform	taxonomic_classification	location_end	protocol_label	elevation	salinity	sequencing_method	sequencing_primer_lot	first_public	transposase_protocol	study_alias	library_prep_location	rna_prep_3_protocol	ph	sequencing_longitude	tissue_type	isolation_source
DRR438731	NextSeq 500 paired end sequencing: NextSeq 500 paired end sequencing of SAMD00576172	SAMD00576172	Staphylococcus	DRA015589					RANDOM						2023-01-28							212567010								142487375;144237077	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/drr/DRR438/DRR438731											ftp.sra.ebi.ac.uk/vol1/fastq/DRR438/DRR438731/DRR438731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR438/DRR438731/DRR438731_2.fastq.gz							Algeria	Generic	Human skin metagenome, P05-site-A	ftp.sra.ebi.ac.uk/vol1/drr/DRR438/DRR438731		0372d68a9fa86b23acea233f3d765d6d;d50a6fe57c25a764489cda3e3db75a02	DRP009516		1700222	Whole genome analysis of Staphylococcus spp. and related bacteria isolated from diabetic foot ulcers and contralateral healthy skin of Algerian patients.		GENERATED_FILE;GENERATED_FILE					2019-12-31		Human skin metagenome, P05-site-A					NextSeq 500							NextSeq 500 paired end sequencing: NextSeq 500 paired end sequencing of SAMD00576172					9606			ca606772bf925d1d18f12fee7dde1968		ftp.sra.ebi.ac.uk/vol1/fastq/DRR438/DRR438731/DRR438731_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR438/DRR438731/DRR438731_2.fastq.gz					489573112	WGS					GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR438/DRR438731		PAIRED										dcc_metagenome									280			public			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR438/DRR438731/DRR438731_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR438/DRR438731/DRR438731_2.fastq.gz	1;2787823;12908;408169;410656;539655			SAMD00576172		2019-01-01			DRR438731							2019	DRX423906		NIID				Homo sapiens			2023-01-28			DRX423906	human skin metagenome		539655	PRJDB13730							Homo sapiens		DRR438731	DRS277520											2023-01-28		DRP009516						
DRR469510	HiSeq X Ten sequencing: HiSeq X Ten paired end sequencing of SAMD00611862	SAMD00611862	Leptolyngbya boryana strain:dg5	DRA016342					RANDOM						2023-09-22							394362251								245912557;246289390	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/drr/DRR469/DRR469510.lite											ftp.sra.ebi.ac.uk/vol1/fastq/DRR469/DRR469510/DRR469510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR469/DRR469510/DRR469510_2.fastq.gz							missing	Generic	dg224	ftp.sra.ebi.ac.uk/vol1/drr/DRR469/DRR469510.lite		a5da46b0e9bac4f95fe217bd371daf1e;87ea9d1b1e62b236ca7efdb190542608	DRP010382		4182436	Evolutionary process of loss of photosynthesis in cyanobacteria adapted to long-term dark heterotrophy		GENERATED_FILE;GENERATED_FILE							dg224					HiSeq X Ten							HiSeq X Ten sequencing: HiSeq X Ten paired end sequencing of SAMD00611862								b150696bcb9166f9c5c114f0e89ede5c		ftp.sra.ebi.ac.uk/vol1/fastq/DRR469/DRR469510/DRR469510_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR469/DRR469510/DRR469510_2.fastq.gz					1263095672	RNA-Seq					GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR469/DRR469510.lite		PAIRED										dcc_compare												public			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR469/DRR469510/DRR469510_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR469/DRR469510/DRR469510_2.fastq.gz	1;131567;2;1783272;1798711;1117;3028117;3079749;1890438;3081713;47251;1184			SAMD00611862					DRR469510					random primer		missing	DRX453739		NAGOYA						env_tax;env_tax:freshwater;env_tax:terrestrial	2023-08-18		dg5	DRX453739	Leptolyngbya boryana		1184	PRJDB15833									DRR469510	DRS318724											2023-08-18		DRP010382						missing
DRR472233	MinION sequencing: MinION sequencing of SAMD00466518	SAMD00466518	Streptococcus dysgalactiae	DRA016360					RANDOM						2023-06-05							60805210								77270209	OXFORD_NANOPORE		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/drr/DRR472/DRR472233.lite											ftp.sra.ebi.ac.uk/vol1/fastq/DRR472/DRR472233/DRR472233_1.fastq.gz							Japan:Kyoto	MIGS.ba.host-associated	Keywords: GSC:MIxS MIGS:6.0	ftp.sra.ebi.ac.uk/vol1/drr/DRR472/DRR472233.lite		9a0a26366db929a0a87dd62f874e5ba9	DRP008516		91913	Genome dissection of Streptococcus dysgalactiae		GENERATED_FILE					2013-12-31		Streptococcus dysgalactiae subsp. equisimilis str. KUSD018					MinION							MinION sequencing: MinION sequencing of SAMD00466518					9606			46951032b473f2b3d807e46951c31e96		ftp.sra.ebi.ac.uk/vol1/fastq/DRR472/DRR472233/DRR472233_1.fastq.gz					233577154	WGS					GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR472/DRR472233.lite		SINGLE										dcc_compare												public			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR472/DRR472233/DRR472233_1.fastq.gz	1;131567;2;1783272;1239;91061;186826;1300;1301;119603;1334;119602			SAMD00466518		2013-01-01	equisimilis		DRR472233							2013	DRX456462		KYOTO_GM				Homo sapiens		pathogen;pathogen:bacterium	2023-06-05		KUSD018	DRX456462	Streptococcus dysgalactiae subsp. equisimilis		119602	PRJDB12179							Homo sapiens		DRR472233	DRS239046											2023-06-05		DRP008516						
DRR488424	Illumina MiSeq paired end sequencing: Illumina MiSeq paired end sequencing of SAMD00626113	SAMD00626113	Bacteria	DRA016570					PCR					atomical system	2023-07-26							55490567							missing: sample group	14514815;19352429	ILLUMINA		ARCHIVAL_FILE			fasp.sra.ebi.ac.uk:/vol1/drr/DRR488/DRR488424.lite	missing: sample group										ftp.sra.ebi.ac.uk/vol1/fastq/DRR488/DRR488424/DRR488424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR488/DRR488424/DRR488424_2.fastq.gz							Japan	MIMARKS.specimen.human-oral	Keywords: GSC:MIxS MIMARKS:6.0	ftp.sra.ebi.ac.uk/vol1/drr/DRR488/DRR488424.lite		f2ae7c3b05eb93a9c5bc847cc5ccfdb2;3f2c1508f96e60cbd0602da10054749b	DRP010240		450418	Optimal 16S rRNA gene amplicon sequencing analysis for oral microbiota to avoid the potential bias introduced by trimming length, primers, and database		GENERATED_FILE;GENERATED_FILE			atomical system		2022-12-31		16S rRNA gene32 from dental calculus sample			mouth	missing: sample group	Illumina MiSeq							Illumina MiSeq paired end sequencing: Illumina MiSeq paired end sequencing of SAMD00626113				mouth	9606			b588ff30411befea0db55688f1a6bce6		ftp.sra.ebi.ac.uk/vol1/fastq/DRR488/DRR488424/DRR488424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR488/DRR488424/DRR488424_2.fastq.gz					180252971	AMPLICON					GENOMIC	ftp.sra.ebi.ac.uk/vol1/drr/DRR488/DRR488424.lite		PAIRED			atomical structure							dcc_metagenome									331	atomical structure		public			fasp.sra.ebi.ac.uk:/vol1/fastq/DRR488/DRR488424/DRR488424_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR488/DRR488424/DRR488424_2.fastq.gz	1;2787823;12908;408169;410656;447426			SAMD00626113		2022-01-01			DRR488424							2022	DRX472635		TOKYO_MEDEN				Homo sapiens	Dental calculus sample		2023-07-09		missing: sample group	DRX472635	human oral metagenome		447426	PRJDB16124							Homo sapiens		DRR488424	DRS314697											2023-07-09		DRP010240						
ERR10033421	Illumina MiSeq sequencing: Raw reads: Illumina_294	SAMEA110466215	Oxford Airways Metagenomics Study	ERA16813977					PCR						2022-08-08	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10033421/in.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10033421/in.bam.bai											ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10033421/in.bam;ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10033421/in.bam.bai			161670339;194772862	ILLUMINA							fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR10033421/in.bam;fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR10033421/in.bam.bai							66f51cfb79b149ed92c7b2f14fe9ce99;8d74e7ddb7da072a31d33d8c1cb4a4e0	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/021/ERR10033421/ERR10033421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/021/ERR10033421/ERR10033421_2.fastq.gz				362023026;24			United Kingdom		187			f62c92740643caad83ab4434adfd600e;daa44661a493d226308cb773ede93ad3	ERP132191		2437868	Characterisation of Airway Metagenome in Severe Asthma		GENERATED_FILE;GENERATED_FILE					2018-12-31		187					Illumina MiSeq							Illumina MiSeq sequencing: Raw reads: Illumina_294					9606					ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/021/ERR10033421/ERR10033421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/021/ERR10033421/ERR10033421_2.fastq.gz					425433786	WGS					GENOMIC			PAIRED										dcc_metagenome												public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/021/ERR10033421/ERR10033421_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/021/ERR10033421/ERR10033421_2.fastq.gz	1;2787823;12908;408169;256318			Illumina_294		2018-01-01			webin-reads-Illumina_294			SUBMISSION_FILE;INDEX_FILE				2018	webin-reads-Illumina_294		University of Oxford;Oxford;England;UK;UNIVERSITY OF OXFORD				Homo sapiens			2022-08-05			ERX9574094	metagenome	diseased	256318	PRJEB47876	BAM;BAI						Homo sapiens		ERR10033421	ERS12564245											2022-08-07		ena-STUDY-UNIVERSITY OF OXFORD-04-10-2021-10:25:40:421-2086						Human host
ERR10073045	Illumina HiSeq 2500 sequencing	SAMEA110640444	Genetic insights into the social organization of Neanderthals	ERA16871856		5e773b33cc64a2164132c41eaa63cb1d			RANDOM						2022-08-29	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10073045/Chagyrskaya06.shotgun.A25727.190806_D00829_0269_BH2V3WBCX3_R_PEdi_A26145_A25757_2.lane2.fastq.gz											ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10073045/Chagyrskaya06.shotgun.A25727.190806_D00829_0269_BH2V3WBCX3_R_PEdi_A26145_A25757_2.lane2.fastq.gz			209624856	ILLUMINA							fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR10073045/Chagyrskaya06.shotgun.A25727.190806_D00829_0269_BH2V3WBCX3_R_PEdi_A26145_A25757_2.lane2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR100/045/ERR10073045.bam					e099ec3f298be3243dc090f6c77d374a	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/045/ERR10073045/ERR10073045.fastq.gz				188118481					Neanderthal remian from Chagyrskaya Cave: right mandible fragment with CâM2			438cc74cdc2a3ab17aca9758839ae366	ERP140220		6017961	Ancient DNA sequences from 27 Neanderthals from Chagyrskaya and Okladnikov Cave in Siberia		GENERATED_FILE							Chagyrskaya06					Illumina HiSeq 2500			219818322				Illumina HiSeq 2500 sequencing	ARCHIVAL_FILE									ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/045/ERR10073045/ERR10073045.fastq.gz					273054282	WGS					GENOMIC			SINGLE								fasp.sra.ebi.ac.uk:/vol1/err/ERR100/045/ERR10073045.bam														public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/045/ERR10073045/ERR10073045.fastq.gz	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9605;9606;63221			Chagyrskaya06					ena-RUN-TAB-11-08-2022-02:31:48:931-104524			SUBMISSION_FILE	SINGLE				ena-EXPERIMENT-TAB-11-08-2022-02:31:48:930-104523		Max Planck Institute for Evolutionary Anthropology;MPI-EVA					Chagyrskaya06.shotgun.A25727.190806_D00829_0269_BH2V3WBCX3_R_PEdi_A26145_A25757_2.lane2		2022-08-11			ERX9612814	Homo sapiens neanderthalensis		63221	PRJEB55327	FASTQ							ftp.sra.ebi.ac.uk/vol1/err/ERR100/045/ERR10073045.bam	ERR10073045	ERS12738209											2022-08-27		c2a0944c-7d95-471d-833d-7c065073434f						
ERR10073049	Illumina HiSeq 2500 sequencing	SAMEA110640444	Genetic insights into the social organization of Neanderthals	ERA16871856		c6243604364b2652d8047b5040678465			RANDOM						2022-08-29	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10073049/Chagyrskaya06.rCRs_mtDNA.R5790.160219_M02279_0172_000000000-AM545_BN_R4305.lane1.fastq.gz											ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10073049/Chagyrskaya06.rCRs_mtDNA.R5790.160219_M02279_0172_000000000-AM545_BN_R4305.lane1.fastq.gz			43505282	ILLUMINA							fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR10073049/Chagyrskaya06.rCRs_mtDNA.R5790.160219_M02279_0172_000000000-AM545_BN_R4305.lane1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR100/049/ERR10073049.bam					6d2b812b778131908280a47a8a837674	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/049/ERR10073049/ERR10073049.fastq.gz				39683651					Neanderthal remian from Chagyrskaya Cave: right mandible fragment with CâM2			6ab055ba58809de026200401f3e85c8f	ERP140220		1201786	Ancient DNA sequences from 27 Neanderthals from Chagyrskaya and Okladnikov Cave in Siberia		GENERATED_FILE							Chagyrskaya06					Illumina HiSeq 2500			46298359				Illumina HiSeq 2500 sequencing	ARCHIVAL_FILE									ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/049/ERR10073049/ERR10073049.fastq.gz					63608175	Targeted-Capture					GENOMIC			SINGLE								fasp.sra.ebi.ac.uk:/vol1/err/ERR100/049/ERR10073049.bam														public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/049/ERR10073049/ERR10073049.fastq.gz	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9605;9606;63221			Chagyrskaya06					ena-RUN-TAB-11-08-2022-02:31:48:932-104532			SUBMISSION_FILE	SINGLE				ena-EXPERIMENT-TAB-11-08-2022-02:31:48:931-104531		Max Planck Institute for Evolutionary Anthropology;MPI-EVA					Chagyrskaya06.rCRs_mtDNA.R5790.160219_M02279_0172_000000000-AM545_BN_R4305.lane1		2022-08-11			ERX9612818	Homo sapiens neanderthalensis		63221	PRJEB55327	FASTQ							ftp.sra.ebi.ac.uk/vol1/err/ERR100/049/ERR10073049.bam	ERR10073049	ERS12738209											2022-08-27		c2a0944c-7d95-471d-833d-7c065073434f						
ERR10073052	Illumina HiSeq 2500 sequencing	SAMEA110640444	Genetic insights into the social organization of Neanderthals	ERA16871856		31abc732a0912a8ee8e94d5aa2cbd673			RANDOM						2022-08-29	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10073052/Chagyrskaya06.shotgun.R9876.160401_SN7001204_0510_AHJLK3BCXX_R_PEdi_R9849_R9891.lane2.fastq.gz											ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10073052/Chagyrskaya06.shotgun.R9876.160401_SN7001204_0510_AHJLK3BCXX_R_PEdi_R9849_R9891.lane2.fastq.gz			468837766	ILLUMINA							fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR10073052/Chagyrskaya06.shotgun.R9876.160401_SN7001204_0510_AHJLK3BCXX_R_PEdi_R9849_R9891.lane2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR100/052/ERR10073052.bam					a0de374d07bf2b39c8253898bc47ee81	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/052/ERR10073052/ERR10073052.fastq.gz				427513813					Neanderthal remian from Chagyrskaya Cave: right mandible fragment with CâM2			8d4ac079cfa5cbf53a910a49c8b93b36	ERP140220		11400731	Ancient DNA sequences from 27 Neanderthals from Chagyrskaya and Okladnikov Cave in Siberia		GENERATED_FILE							Chagyrskaya06					Illumina HiSeq 2500			485946173				Illumina HiSeq 2500 sequencing	ARCHIVAL_FILE									ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/052/ERR10073052/ERR10073052.fastq.gz					607535395	WGS					GENOMIC			SINGLE								fasp.sra.ebi.ac.uk:/vol1/err/ERR100/052/ERR10073052.bam														public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/052/ERR10073052/ERR10073052.fastq.gz	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9605;9606;63221			Chagyrskaya06					ena-RUN-TAB-11-08-2022-02:31:48:932-104538			SUBMISSION_FILE	SINGLE				ena-EXPERIMENT-TAB-11-08-2022-02:31:48:932-104537		Max Planck Institute for Evolutionary Anthropology;MPI-EVA					Chagyrskaya06.shotgun.R9876.160401_SN7001204_0510_AHJLK3BCXX_R_PEdi_R9849_R9891.lane2		2022-08-11			ERX9612821	Homo sapiens neanderthalensis		63221	PRJEB55327	FASTQ							ftp.sra.ebi.ac.uk/vol1/err/ERR100/052/ERR10073052.bam	ERR10073052	ERS12738209											2022-08-27		c2a0944c-7d95-471d-833d-7c065073434f						
ERR10073246	Illumina HiSeq 2500 sequencing	SAMEA110640449	Genetic insights into the social organization of Neanderthals	ERA16871856		a52d6c54d0e6a1f0f77130c1736f36cc			RANDOM						2022-08-30	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10073246/Chagyrskaya14.shotgun.F8792.170906_D00829_0070_AHNVFNBCXY_R_PEdi_F8888_G1774.lane1.fastq.gz											ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR10073246/Chagyrskaya14.shotgun.F8792.170906_D00829_0070_AHNVFNBCXY_R_PEdi_F8888_G1774.lane1.fastq.gz			89154908	ILLUMINA							fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR10073246/Chagyrskaya14.shotgun.F8792.170906_D00829_0070_AHNVFNBCXY_R_PEdi_F8888_G1774.lane1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR100/046/ERR10073246.bam					f883cbbe9bd88cf077d91a62f1b90d5e	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/046/ERR10073246/ERR10073246.fastq.gz				80564118					Neanderthal remian from Chagyrskaya Cave: left I2			0a71defb3dacf1b8daaa5c4cf203a82b	ERP140220		2563284	Ancient DNA sequences from 27 Neanderthals from Chagyrskaya and Okladnikov Cave in Siberia		GENERATED_FILE							Chagyrskaya14					Illumina HiSeq 2500			93957264				Illumina HiSeq 2500 sequencing	ARCHIVAL_FILE									ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/046/ERR10073246/ERR10073246.fastq.gz					114301622	WGS					GENOMIC			SINGLE								fasp.sra.ebi.ac.uk:/vol1/err/ERR100/046/ERR10073246.bam														public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/046/ERR10073246/ERR10073246.fastq.gz	1;131567;2759;33154;33208;6072;33213;33511;7711;89593;7742;7776;117570;117571;8287;1338369;32523;32524;40674;32525;9347;1437010;314146;9443;376913;314293;9526;314295;9604;207598;9605;9606;63221			Chagyrskaya14					ena-RUN-TAB-11-08-2022-02:31:48:982-104926			SUBMISSION_FILE	SINGLE				ena-EXPERIMENT-TAB-11-08-2022-02:31:48:981-104925		Max Planck Institute for Evolutionary Anthropology;MPI-EVA					Chagyrskaya14.shotgun.F8792.170906_D00829_0070_AHNVFNBCXY_R_PEdi_F8888_G1774.lane1		2022-08-11			ERX9613015	Homo sapiens neanderthalensis		63221	PRJEB55327	FASTQ							ftp.sra.ebi.ac.uk/vol1/err/ERR100/046/ERR10073246.bam	ERR10073246	ERS12738214											2022-08-30		c2a0944c-7d95-471d-833d-7c065073434f						
ERR1009450	Illumina HiSeq 2500 paired end sequencing	SAMEA3448804	Agent_associated_with_nodding_syndrome	ERA476789					RANDOM						2018-11-16	ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1009450/16714_2#35.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1009450/16714_2#35.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1009450/16714_2#35.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR100/ERR1009450/16714_2#35.cram.crai			94295094;109052717	ILLUMINA							fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1009450/16714_2#35.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR100/ERR1009450/16714_2#35.cram.crai							458c4e865860b17782f91cb022d6d0e4;5abe2b04a6e53fd9563314c725586867	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR1009450/ERR1009450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR1009450/ERR1009450_2.fastq.gz				173487058;1165								afddbc6a5364b891475c1ed6d2f4e477;1c7cd0d4e49fdd8fdb47cb06deb9b6ee	ERP010704		1164178	Agent_associated_with_nodding_syndrome		GENERATED_FILE;GENERATED_FILE												Illumina HiSeq 2500							Illumina HiSeq 2500 paired end sequencing										ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR1009450/ERR1009450_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR100/000/ERR1009450/ERR1009450_2.fastq.gz					291044500	WGS					GENOMIC			PAIRED																			500			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/000/ERR1009450/ERR1009450_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR100/000/ERR1009450/ERR1009450_2.fastq.gz	1;2787823;12908;32644			M2NS055_PLASMA-sc-2316787					SC_RUN_16714_2#35			SUBMISSION_FILE;INDEX_FILE		Standard			SC_EXP_16714_2#35		Wellcome Sanger Institute;SC					14151917		2015-09-08			ERX1088474	unidentified		32644	PRJEB9580	CRAM;CRAI								ERR1009450	ERS746356											2015-09-08		Agent_associated_with_nodding_syndrome-sc-3690						
ERR10311658	Illumina NovaSeq 6000 paired end sequencing	SAMEA110665211	The_impact_of_HIV_infection_on_within_host_genetic_diversity_and_evolution_of_the_pneumococcus	ERA18513098					RANDOM						2022-10-05	ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10311658/45907_2#288.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10311658/45907_2#288.cram.crai											ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10311658/45907_2#288.cram;ftp.sra.ebi.ac.uk/vol1/run/ERR103/ERR10311658/45907_2#288.cram.crai			63490640;65754779	ILLUMINA							fasp.sra.ebi.ac.uk:/vol1/run/ERR103/ERR10311658/45907_2#288.cram;fasp.sra.ebi.ac.uk:/vol1/run/ERR103/ERR10311658/45907_2#288.cram.crai							4eb4fa16c2a995488e52e972b521246a;122d111de2d2e270bcfc38a3d4a2ba94	ERC000011	ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/058/ERR10311658/ERR10311658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/058/ERR10311658/ERR10311658_2.fastq.gz				86644860;4124					SPNMWHIV13048042			21989fd0116530a5215b1214e6581a38;815338e3bd9f211aa0ee2f4d87956826	ERP139729		2734332	The_impact_of_HIV_infection_on_within_host_genetic_diversity_and_evolution_of_the_pneumococcus		GENERATED_FILE;GENERATED_FILE							SPNMWHIV13048042					Illumina NovaSeq 6000							Illumina NovaSeq 6000 paired end sequencing		110								ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/058/ERR10311658/ERR10311658_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR103/058/ERR10311658/ERR10311658_2.fastq.gz					412884132	WGS					GENOMIC			PAIRED										dcc_compare									363			public			fasp.sra.ebi.ac.uk:/vol1/fastq/ERR103/058/ERR10311658/ERR10311658_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR103/058/ERR10311658/ERR10311658_2.fastq.gz	1;131567;2;1783272;1239;91061;186826;1300;1301;1313;170187			3dee8a76-1d76-11ed-8a87-fa163eac3af7					SC_RUN_45907_2#288			SUBMISSION_FILE;INDEX_FILE		pWGS-384			SC_EXP_45907_2#288		Wellcome Sanger Institute;SC					SQPP-644-K:O19	pathogen;pathogen:priority;pathogen:bacterium	2022-10-05			ERX9846815	Streptococcus pneumoniae TIGR4		170187	PRJEB54871	CRAM;CRAI								ERR10311658	ERS12762791											2022-10-05		The_impact_of_HIV_infection_on_within_host_genetic_diversity_and_evolution_of_the_pneumococcus-sc-6995						
